事件	时间	方向	价格	止损	止盈	说明
开仓	06-10 14:16	LONG	108944.40	108072.84	109598.07	原因=signal | 20x杠杆
time_decay_sl	06-10 14:46	LONG	108617.57			
止损	06-10 14:46	LONG	108617.57	108617.57	109598.07	盈亏 -0.38% | 持仓 30 根 | 入场 108944.4
开仓	06-11 00:30	LONG	109796.10	108917.73	110454.88	原因=signal | 20x杠杆
time_decay_sl	06-11 01:00	LONG	109466.71			
time_decay_sl	06-11 01:30	LONG	109631.41			
止损	06-11 01:30	LONG	109631.41	109631.41	110454.88	盈亏 -0.23% | 持仓 60 根 | 入场 109796.1
开仓	06-11 05:58	LONG	109431.00	108555.55	110087.59	原因=signal | 20x杠杆
time_decay_sl	06-11 06:09	LONG	109102.71			
time_decay_sl	06-11 06:14	LONG	109266.85			
超时平仓	06-11 06:58	LONG	109551.20	109266.85	110087.59	盈亏 +0.03% | 持仓 60 根 | 入场 109431.0
开仓	06-11 07:52	LONG	109425.70	108550.29	110082.25	原因=signal | 20x杠杆
time_decay_sl	06-11 07:58	LONG	109097.42			
time_decay_sl	06-11 08:01	LONG	109261.56			
超时平仓	06-11 08:52	LONG	109546.60	109261.56	110082.25	盈亏 +0.03% | 持仓 60 根 | 入场 109425.7
开仓	06-11 13:30	LONG	109705.50	108827.86	110363.73	原因=signal | 20x杠杆
time_decay_sl	06-11 14:00	LONG	109376.38			
breakeven_sl	06-11 14:16	LONG	109540.94			
超时平仓	06-11 14:30	LONG	110171.30	109540.94	110363.73	盈亏 +0.34% | 持仓 60 根 | 入场 109705.5
开仓	06-11 16:22	LONG	109416.50	108541.17	110073.00	原因=signal | 20x杠杆
time_decay_sl	06-11 16:33	LONG	109088.25			
time_decay_sl	06-11 16:38	LONG	109252.38			
超时平仓	06-11 17:22	LONG	109592.90	109252.38	110073.00	盈亏 +0.08% | 持仓 60 根 | 入场 109416.5
开仓	06-11 17:58	LONG	109018.50	108146.35	109672.61	原因=signal | 20x杠杆
time_decay_sl	06-11 18:28	LONG	108691.44			
止损	06-11 18:28	LONG	108691.44	108691.44	109672.61	盈亏 -0.38% | 持仓 30 根 | 入场 109018.5
开仓	06-11 21:57	LONG	108352.20	107485.38	109002.31	原因=signal | 20x杠杆
