方向	入场时间	入场价	出场时间	出场价	盈利(USDT)	收益率%	持仓	市场状态	指纹摘要
LONG	05-10 13:21	62924.90	05-10 14:18	62421.50	-44.00	-0.88	57		#long|ma5 率71% 分72
LONG	05-10 15:01	60868.00	05-10 15:22	61233.21	25.77	0.52	21		#long|clo 率76% 分69
LONG	05-10 16:00	60814.70	05-10 16:05	60328.18	-43.84	-0.88	5		#long|con 率71% 分72
SHORT	05-10 16:08	60826.90	05-10 16:16	61191.86	-33.58	-0.68	8		#short|at 率56% 分68
LONG	05-10 19:52	60666.60	05-10 23:52	60877.30	13.11	0.27	240		#long|ma5 率68% 分74
LONG	05-11 02:27	60730.10	05-11 06:27	60966.60	15.22	0.31	240		#long|bol 率78% 分84
LONG	05-11 09:08	60784.40	05-11 13:08	60822.90	-0.82	-0.02	240		#long|atr 率74% 分78
LONG	05-11 17:03	61119.60	05-11 21:03	60942.30	-18.25	-0.37	240		#long|con 率75% 分84
LONG	05-11 23:16	60907.60	05-12 03:16	60863.70	-7.47	-0.15	240		#long|atr 率78% 分60
LONG	05-12 07:55	60721.00	05-12 08:36	61085.33	25.51	0.52	41		#long|atr 率74% 分62
LONG	05-12 13:05	61120.90	05-12 15:41	61487.63	25.64	0.52	156		#long|con 率74% 分62
SHORT	05-12 19:43	61372.60	05-12 21:25	60881.62	35.69	0.72	102		#short|bo 率55% 分66
LONG	05-13 01:34	61360.00	05-13 03:14	60869.12	-43.94	-0.88	100		#long|atr 率77% 分84
LONG	05-13 03:30	60832.10	05-13 06:21	61197.09	25.74	0.52	171		#long|low 率71% 分71
SHORT	05-13 07:52	61953.80	05-13 07:54	62325.52	-33.83	-0.68	2		#short|cl 率56% 分68
SHORT	05-13 08:40	62830.60	05-13 09:26	63207.58	-33.60	-0.68	46		#short|co 率56% 分72
LONG	05-13 11:21	62513.60	05-13 13:04	62888.68	25.52	0.52	103		#long|con 率75% 分84
SHORT	05-13 15:29	62961.00	05-13 16:25	63338.77	-33.54	-0.68	56		#short|at 率60% 分75
SHORT	05-13 16:51	63182.20	05-13 17:09	62676.74	35.28	0.72	18		#short|co 率67% 分72
LONG	05-13 17:31	62708.60	05-13 19:52	63084.85	25.66	0.52	141		#long|atr 率71% 分70
SHORT	05-14 07:03	62035.90	05-14 10:17	61539.61	35.71	0.72	194		#short|co 率68% 分69
