方向	入场时间	入场价	出场时间	出场价	盈利(USDT)	收益率%	持仓	市场状态	指纹摘要
SHORT	10-05 23:37	123452.20	10-06 00:15	123822.56	-19.00	-0.38	38		#short:bo 率60% 分75
SHORT	10-06 01:51	123972.00	10-06 02:49	124157.96	-11.46	-0.23	58		#short:k_ 率80% 分84
SHORT	10-06 05:16	123440.00	10-06 06:16	123625.16	-11.43	-0.23	60		#short:at 率55% 分68
SHORT	10-06 07:21	123863.20	10-06 08:21	123647.80	4.66	0.09	60		#short:co 率57% 分38
SHORT	10-06 10:41	124039.90	10-06 11:30	124412.02	-18.86	-0.38	49		#short:co 率59% 分40
SHORT	10-06 13:26	124808.10	10-06 13:57	124995.31	-11.37	-0.23	31		#short:at 率56% 分69
SHORT	10-06 15:01	124600.70	10-06 15:22	125348.30	-33.54	-0.68	21		#short:co 率58% 分39
SHORT	10-06 15:50	125173.40	10-06 16:50	125200.00	-4.96	-0.10	60		#short:at 率60% 分75
SHORT	10-06 16:54	125196.50	10-06 17:24	125572.09	-18.60	-0.38	30		#short:co 率58% 分36
SHORT	10-06 17:28	125590.00	10-06 18:28	125149.50	13.20	0.27	60		#short:co 率57% 分38
SHORT	10-06 18:44	125400.10	10-06 18:56	126152.50	-33.24	-0.68	12		#short:at 率61% 分41
LONG	10-06 19:40	125316.90	10-06 20:40	125200.00	-8.41	-0.17	60		#long:atr 率69% 分66
LONG	10-06 20:43	125161.00	10-06 21:20	124785.52	-18.42	-0.38	37		#long:k_s 率76% 分82
LONG	10-06 21:51	124850.00	10-06 22:51	124975.00	0.97	0.02	60		#long:con 率68% 分69
SHORT	10-07 02:36	124400.10	10-07 03:36	124205.00	3.71	0.08	60		#short:ma 率59% 分52
LONG	10-07 04:19	124083.80	10-07 05:19	124315.90	5.17	0.11	60		#long:bol 率72% 分45
LONG	10-07 05:34	124436.40	10-07 06:24	124063.09	-18.39	-0.38	50		#long:k_l 率69% 分47
SHORT	10-07 08:25	123611.20	10-07 09:11	123982.03	-18.32	-0.38	46		#short:at 率56% 分38
SHORT	10-07 09:51	124075.30	10-07 10:51	124261.41	-11.04	-0.23	60		#short:k_ 率80% 分84
SHORT	10-07 12:08	124447.20	10-07 12:47	124820.54	-18.20	-0.38	39		#short:at 率60% 分75
LONG	10-07 14:33	122866.20	10-07 15:05	122497.60	-18.14	-0.38	32		#long:bol 率71% 分66
LONG	10-07 15:30	121957.10	10-07 16:05	121591.23	-18.07	-0.38	35		#long:bol 率83% 分63
LONG	10-07 18:19	120988.90	10-07 19:19	121356.40	10.60	0.22	60		#long:j_s 率80% 分84
SHORT	10-07 20:27	122069.80	10-07 21:27	122198.90	-8.82	-0.19	60		#short:k_ 率80% 分84
LONG	10-07 21:33	121993.10	10-07 22:33	121960.10	-5.07	-0.11	60		#long:atr 率68% 分68
LONG	10-07 23:57	121320.00	10-08 00:57	121926.70	19.88	0.42	60		#long:bol 率67% 分46
SHORT	10-08 01:08	121958.00	10-08 02:08	121817.20	1.68	0.04	60		#short:bo 率66% 分69
