方向	入场时间	入场价	出场时间	出场价	盈利(USDT)	收益率%	持仓	市场状态	指纹摘要
SHORT	10-13 10:31	26760.40	10-13 11:31	26800.54	-11.50	-0.23	60		#short:co 率57% 分38
SHORT	10-13 11:56	26810.30	10-13 12:35	26890.73	-18.96	-0.38	39		#short:at 率58% 分39
LONG	10-13 14:26	26795.00	10-13 15:23	26714.62	-18.88	-0.38	57		#long:low 率70% 分74
SHORT	10-13 16:46	26785.60	10-13 17:46	26743.20	3.88	0.08	60		#short:bo 率57% 分71
LONG	10-13 18:33	26757.00	10-13 19:33	26747.60	-5.70	-0.12	60		#long:low 率70% 分64
LONG	10-13 20:15	26746.80	10-13 20:52	26907.28	18.01	0.52	37		#long:atr 率84% 分72
LONG	10-13 20:15	26746.80	10-13 21:15	26885.30	6.50	0.44	60		#long:atr 率84% 分72
SHORT	10-13 21:47	27022.50	10-13 22:47	26862.60	25.45	0.51	60		#short:bo 率59% 分37
SHORT	10-14 00:12	26864.40	10-14 01:12	26842.10	0.15	0.00	60		#short:bo 率57% 分64
LONG	10-14 04:43	26907.70	10-14 05:43	26888.50	-7.57	-0.15	60		#long:bol 率75% 分84
SHORT	10-14 07:48	26853.30	10-14 08:48	26844.60	-2.38	-0.05	60		#short:co 率58% 分47
SHORT	10-14 09:45	26865.90	10-14 10:45	26878.80	-6.39	-0.13	60		#short:at 率63% 分61
LONG	10-14 12:03	26854.10	10-14 13:03	26883.00	1.38	0.03	60		#long:atr 率69% 分70
SHORT	10-14 13:40	26882.90	10-14 14:40	26860.80	0.11	0.00	60		#short:co 率61% 分74
SHORT	10-14 15:07	26874.80	10-14 16:07	26915.11	-11.46	-0.23	60		#short:at 率57% 分45
LONG	10-14 17:50	26878.00	10-14 18:50	26857.60	-7.75	-0.16	60		#long:con 率72% 分63
SHORT	10-14 19:19	26859.50	10-14 20:19	26834.90	0.58	0.01	60		#short:at 率56% 分38
SHORT	10-14 20:25	26821.60	10-14 21:25	26805.50	-0.99	-0.02	60		#short:j_ 率65% 分74
SHORT	10-14 21:32	26824.10	10-14 22:32	26817.20	-2.69	-0.05	60		#short:at 率56% 分38
SHORT	10-14 22:35	26817.50	10-14 23:35	26842.30	-8.56	-0.17	60		#short:j_ 率65% 分74
SHORT	10-14 23:53	26846.20	10-15 00:53	26810.10	2.70	0.05	60		#short:co 率58% 分47
LONG	10-15 01:11	26840.60	10-15 02:11	26871.60	1.76	0.04	60		#long:con 率74% 分62
SHORT	10-15 03:00	26871.00	10-15 04:00	26874.80	-4.67	-0.09	60		#short:co 率58% 分39
LONG	10-15 04:10	26873.00	10-15 05:10	26867.50	-4.98	-0.10	60		#long:con 率68% 分69
SHORT	10-15 05:15	26870.90	10-15 06:15	26863.30	-2.56	-0.05	60		#short:at 率57% 分45
