方向	入场时间	入场价	出场时间	出场价	盈利(USDT)	收益率%	持仓	均持	市场状态	指纹摘要
LONG	06-10 14:16	108944.40	06-10 14:46	108617.57	-19.00	-0.38	30	-		#long:bol 率77% 分41
LONG	06-11 00:30	109796.10	06-11 01:30	109631.41	-11.46	-0.23	60	-		#long:bol 率81% 分41
LONG	06-11 05:58	109431.00	06-11 06:58	109551.20	1.48	0.03	60	-		#long:con 率78% 分46
LONG	06-11 07:52	109425.70	06-11 08:52	109546.60	1.52	0.03	60	-		#long:bol 率70% 分42
LONG	06-11 13:30	109705.50	06-11 14:30	110171.30	17.13	0.34	60	-		#long:con 率69% 分41
LONG	06-11 16:22	109416.50	06-11 17:22	109592.90	4.05	0.08	60	-		#long:con 率78% 分46
LONG	06-11 17:58	109018.50	06-11 18:28	108691.44	-18.98	-0.38	30	-		#long:con 率72% 分43
LONG	06-11 21:57	108352.20	06-11 22:23	108189.67	-11.44	-0.23	26	-		#long:con 率78% 分46
LONG	06-12 04:02	107812.30	06-12 05:02	107650.58	-11.42	-0.23	60	-		#long:con 率72% 分43
LONG	06-12 05:40	107702.40	06-12 06:40	107899.30	5.09	0.10	60	-		#long:bol 率72% 分67
LONG	06-12 06:46	107850.30	06-12 07:40	107526.75	-18.84	-0.38	54	-		#long:atr 率70% 分62
LONG	06-12 08:03	107520.90	06-12 09:03	107718.90	5.14	0.10	60	-		#long:bol 率68% 分38
LONG	06-12 11:52	106981.60	06-12 12:52	107132.00	2.99	0.06	60	-		#long:bol 率70% 分42
LONG	06-12 16:28	107529.80	06-12 17:26	108174.98	18.00	0.52	58	-		#long:con 率69% 分49
LONG	06-12 16:28	107529.80	06-12 17:28	108164.10	7.57	0.51	60	-		#long:con 率69% 分49
LONG	06-12 22:39	105776.60	06-12 23:39	105956.90	4.50	0.09	60	-		#long:bol 率75% 分58
LONG	06-13 06:06	103968.70	06-13 06:58	104592.51	18.11	0.52	52	-		#long:bol 率77% 分41
LONG	06-13 06:06	103968.70	06-13 07:06	104339.60	4.13	0.28	60	-		#long:bol 率77% 分41
LONG	06-13 08:37	105008.60	06-13 09:07	104693.57	-18.99	-0.38	30	-		#long:bol 率81% 分43
SHORT	06-13 09:40	104645.60	06-13 10:40	104779.90	-10.37	-0.21	60	-		#short:bo 率78% 分62
LONG	06-13 13:13	104719.50	06-13 14:04	104562.42	-11.43	-0.23	51	-		#long:bol 率70% 分42
LONG	06-13 15:56	105277.70	06-13 16:19	105909.37	18.05	0.52	23	-		#long:con 率70% 分56
LONG	06-13 15:56	105277.70	06-13 16:56	105714.30	4.98	0.33	60	-		#long:con 率70% 分56
LONG	06-13 20:05	105037.00	06-13 21:05	105364.50	11.55	0.23	60	-		#long:con 率69% 分49
LONG	06-13 23:50	105931.00	06-14 00:50	106007.90	-0.37	-0.01	60	-		#long:con 率69% 分41
LONG	06-14 02:58	105288.80	06-14 03:58	105183.30	-9.00	-0.18	60	-		#long:con 率69% 分41
LONG	06-14 06:31	105090.10	06-14 07:08	104932.46	-11.46	-0.23	37	-		#long:con 率78% 分46
SHORT	06-14 10:23	104892.00	06-14 11:23	105015.90	-9.85	-0.20	60	-		#short:co 率62% 分43
LONG	06-14 12:20	104891.40	06-14 13:20	104900.60	-3.53	-0.07	60	-		#long:bol 率77% 分41
LONG	06-14 14:44	104840.00	06-14 15:44	104682.74	-11.40	-0.23	60	-		#long:bol 率77% 分46
LONG	06-14 16:39	104590.00	06-14 17:39	104530.00	-6.80	-0.14	60	-		#long:bol 率77% 分41
LONG	06-14 17:54	104507.70	06-14 18:41	104350.94	-11.36	-0.23	47	-		#long:con 率69% 分49
SHORT	06-14 21:39	105044.50	06-14 22:09	105359.63	-18.73	-0.38	30	-		#short:ob 率63% 分62
SHORT	06-14 23:53	105383.80	06-15 00:53	105541.88	-11.29	-0.23	60	-		#short:ob 率63% 分62
LONG	06-15 06:02	105910.00	06-15 06:32	105592.27	-18.61	-0.38	30	-		#long:atr 率70% 分62
LONG	06-15 06:57	105387.60	06-15 07:10	105229.52	-11.22	-0.23	13	-		#long:bol 率70% 分42
LONG	06-15 08:33	105200.10	06-15 09:03	105042.30	-11.20	-0.23	30	-		#long:bol 率70% 分42
LONG	06-15 09:50	104865.60	06-15 10:50	105106.40	7.27	0.15	60	-		#long:bol 率68% 分38
LONG	06-15 13:04	105237.50	06-15 14:04	105345.40	1.10	0.02	60	-		#long:atr 率76% 分54
SHORT	06-15 14:58	105670.30	06-15 15:58	105505.10	3.71	0.08	60	-		#short:ob 率63% 分62
LONG	06-15 20:06	105101.60	06-15 20:17	104943.95	-11.20	-0.23	11	-		#long:bol 率73% 分38
LONG	06-15 20:36	104883.60	06-15 21:07	104568.95	-18.46	-0.38	31	-		#long:con 率88% 分72
