方向	入场时间	入场价	出场时间	出场价	盈利(USDT)	收益率%	持仓	均持	市场状态	指纹摘要	策略池
LONG	08-14 08:54	47612.42	08-14 09:40	47898.09	26.00	0.52	46	-		#long:atr 率77% 分43	pool1
LONG	08-14 09:56	47222.13	08-14 09:58	46844.35	-44.23	-0.88	2	-		#long:atr 率71% 分46	pool1
LONG	08-14 10:17	46879.21	08-14 10:20	46504.18	-43.84	-0.88	3	-		#long:bol 率73% 分51	pool1
LONG	08-14 11:02	46185.05	08-14 11:09	46462.16	25.68	0.52	7	-		#long:atr 率70% 分54	pool1
SHORT	08-14 14:51	46750.00	08-14 15:40	46820.12	-11.42	-0.23	49	-		#short:bo 率58% 分54	pool1
LONG	08-14 18:47	46736.30	08-14 19:43	47016.72	25.75	0.52	56	-		#long:atr 率80% 分43	pool1
LONG	08-14 20:16	46397.09	08-14 20:46	46675.47	25.89	0.52	30	-		#long:atr 率71% 分57	pool1
LONG	08-14 21:16	46651.24	08-14 21:34	46931.15	26.02	0.52	18	-		#long:atr 率74% 分35	pool1
SHORT	08-14 21:51	47046.48	08-14 22:17	47117.05	-11.57	-0.23	26	-		#short:at 率60% 分54	pool2
SHORT	08-14 23:43	47190.00	08-15 00:43	47023.80	13.66	0.27	60	-		#short:bo 率58% 分54	pool1
SHORT	08-15 01:28	47267.85	08-15 02:21	47338.75	-11.57	-0.23	53	-		#short:co 率56% 分54	pool1
LONG	08-15 04:12	46650.12	08-15 05:12	46826.65	14.98	0.30	60	-		#long:bol 率77% 分62	pool1
LONG	08-15 07:47	45791.08	08-15 08:47	45880.01	5.75	0.11	60	-		#long:atr 率71% 分46	pool1
LONG	08-15 10:45	45900.26	08-15 11:45	46004.85	7.45	0.15	60	-		#long:atr 率69% 分55	pool1
SHORT	08-15 14:05	46423.32	08-15 14:48	46051.93	36.35	0.72	43	-		#short:cl 率57% 分54	pool1
LONG	08-15 14:50	45819.20	08-15 15:50	46042.62	20.73	0.41	60	-		#long:atr 率71% 分57	pool1
SHORT	08-15 18:06	45996.00	08-15 19:00	46363.97	-44.93	-0.88	54	-		#short:at 率57% 分54	pool2
LONG	08-15 21:37	46562.47	08-15 21:43	46841.84	26.32	0.52	6	-		#long:atr 率70% 分54	pool1
SHORT	08-15 22:46	47173.01	08-15 23:46	47029.99	11.35	0.22	60	-		#short:bo 率58% 分54	pool1
LONG	08-16 00:11	46810.78	08-16 00:14	47091.64	26.51	0.52	3	-		#long:atr 率71% 分46	pool1
SHORT	08-16 00:15	47398.53	08-16 00:17	47682.92	-34.85	-0.68	2	-		#short:cl 率79% 分57	pool1
SHORT	08-16 02:46	47922.75	08-16 03:34	47539.37	36.65	0.72	48	-		#short:at 率57% 分54	pool1
SHORT	08-16 11:14	47591.13	08-16 12:11	47662.52	-11.79	-0.23	57	-		#short:at 率57% 分54	pool1
LONG	08-16 13:35	46805.68	08-16 13:52	46431.23	-45.01	-0.88	17	-		#long:atr 率71% 分46	pool1
