方向	入场时间	入场价	出场时间	出场价	盈利(USDT)	收益率%	持仓	均持	市场状态	指纹摘要	策略池
LONG	01-24 19:01	31819.86	01-24 19:13	31565.30	-44.00	-0.88	12	7	震荡市	#long:atr 率77% 分46	pool1
LONG	01-24 19:15	31290.32	01-24 19:30	31040.00	-43.61	-0.88	15	4	空头趋势	#long:bol 率71% 分46	pool1
LONG	01-24 22:21	31703.82	01-24 22:28	31894.04	25.54	0.52	7	10	空头趋势	#long:atr 率76% 分62	pool1
SHORT	01-25 00:15	32559.41	01-25 00:22	32608.25	-11.36	-0.23	7	25	多头趋势	#short:cl 率57% 分54	pool1
SHORT	01-25 00:46	32752.04	01-25 01:01	32490.02	35.47	0.72	15	32	震荡市	#short:bo 率57% 分54	pool1
SHORT	01-25 01:05	32662.33	01-25 01:26	32711.32	-11.41	-0.23	21	13	空头趋势	#short:cl 率70% 分38	pool2
SHORT	01-25 03:40	33157.04	01-25 03:45	33422.30	-43.57	-0.88	5	18	多头趋势	#short:cl 率64% 分51	pool2
SHORT	01-25 04:00	33839.20	01-25 04:16	33500.81	45.15	0.92	16	15	多头趋势	#short:at 率65% 分62	pool2
LONG	01-25 06:29	33226.41	01-25 06:51	33425.77	25.75	0.52	22	16	空头趋势	#long:atr 率75% 分51	pool1
LONG	01-25 07:50	33220.01	01-25 08:00	33419.33	25.89	0.52	10	10	空头趋势	#long:atr 率69% 分61	pool1
SHORT	01-25 10:17	33101.59	01-25 11:17	33090.99	-2.40	-0.05	60	15	震荡市	#short:cl 率73% 分67	pool1
SHORT	01-25 12:43	33688.25	01-25 12:46	33890.38	-34.01	-0.68	3	15	多头趋势	#short:cl 率73% 分67	pool1
SHORT	01-25 13:10	34367.71	01-25 13:21	34419.26	-11.43	-0.23	11	15	多头趋势	#short:cl 率67% 分70	pool1
LONG	01-25 15:18	34387.84	01-25 15:50	34336.26	-11.40	-0.23	32	18	空头趋势	#long:low 率78% 分41	pool1
SHORT	01-25 15:57	34524.75	01-25 16:02	34576.54	-11.37	-0.23	5	19	多头趋势	#short:co 率67% 分41	pool2
LONG	01-25 16:42	33724.97	01-25 16:48	33927.32	25.65	0.52	6	4	空头趋势	#long:bol 率71% 分46	pool1
LONG	01-25 16:53	33751.60	01-25 16:57	33954.11	25.79	0.52	4	8	多头趋势	#long:atr 率72% 分38	pool1
LONG	01-25 17:14	33959.31	01-25 17:18	33908.37	-11.46	-0.23	4	4	空头趋势	#long:bol 率71% 分46	pool1
LONG	01-25 18:46	33638.02	01-25 18:50	33839.85	25.86	0.52	4	4	空头趋势	#long:bol 率71% 分46	pool1
LONG	01-25 20:00	33369.16	01-25 20:08	33102.21	-43.99	-0.88	8	4	震荡市	#long:clo 率68% 分35	pool1
LONG	01-25 21:09	32921.89	01-25 21:12	33119.42	25.77	0.52	3	4	震荡市	#long:atr 率69% 分44	pool1
LONG	01-25 21:22	32695.00	01-25 21:30	32433.44	-43.83	-0.88	8	5	空头趋势	#long:atr 率71% 分57	pool1
LONG	01-25 21:31	32256.32	01-25 21:33	32449.86	25.67	0.52	2	4	空头趋势	#long:bol 率71% 分46	pool1
SHORT	01-25 22:18	32396.34	01-25 22:28	32137.17	35.73	0.72	10	15	空头趋势	#short:cl 率73% 分67	pool1
LONG	01-25 23:02	32300.33	01-25 23:10	32494.13	25.99	0.52	8	14	空头趋势	#long:clo 率73% 分57	pool1
SHORT	01-25 23:37	32607.57	01-25 23:45	32346.71	36.18	0.72	8	15	震荡市	#short:cl 率73% 分67	pool1
LONG	01-26 00:00	31975.86	01-26 00:04	32167.72	26.32	0.52	4	4	震荡市	#long:atr 率69% 分44	pool1
SHORT	01-26 00:05	32352.75	01-26 00:23	32611.57	-44.76	-0.88	18	17	空头趋势	#short:cl 率71% 分57	pool2
SHORT	01-26 00:43	32634.09	01-26 01:00	32373.02	36.30	0.72	17	15	震荡市	#short:cl 率73% 分67	pool1
LONG	01-26 01:20	32319.14	01-26 01:26	32270.66	-11.68	-0.23	6	10	空头趋势	#long:atr 率79% 分65	pool1
LONG	01-26 03:36	31720.38	01-26 03:41	31672.80	-11.65	-0.23	5	5	空头趋势	#long:atr 率71% 分57	pool1
LONG	01-26 03:59	31520.68	01-26 04:01	31709.80	26.29	0.52	2	3	空头趋势	#long:clo 率79% 分78	pool1
LONG	01-26 04:13	31667.44	01-26 04:40	31857.44	26.42	0.52	27	8	震荡市	#long:con 率73% 分68	pool1
LONG	01-26 05:23	31821.21	01-26 05:35	32012.14	26.56	0.52	12	5	震荡市	#long:atr 率71% 分57	pool1
LONG	01-26 06:20	31818.39	01-26 06:42	31770.66	-11.81	-0.23	22	13	空头趋势	#long:bol 率83% 分75	pool1
LONG	01-26 06:43	31575.43	01-26 06:46	31322.83	-45.08	-0.88	3	9	震荡市	#long:bol 率76% 分46	pool1
LONG	01-26 07:19	31381.57	01-26 07:22	31130.52	-44.68	-0.88	3	12	多头趋势	#long:atr 率59% 分54	pool2
LONG	01-26 09:56	31672.56	01-26 09:58	31862.60	26.17	0.52	2	26	多头趋势	#long:atr 率84% 分54	pool1
SHORT	01-26 10:03	32119.12	01-26 10:15	32167.30	-11.64	-0.23	12	18	多头趋势	#short:cl 率62% 分51	pool2
