=== 策略池 1（TP 0.6% / SL 0.8%，做多≥64% / 做空≥52%） ===
序号	方向	层级	出现轮次	累计触发	累计命中	综合命中率	平均命中率	波动	综合评分	各状态命中率	估算总盈亏	单次EV	平均持仓	条件组合
1	做空	精品	2	16	10	62.5%	100.0%	0.000	53.8	多头60%  空头67%	+3.44%	+0.21%	8	连续阳线≥3（严格） & MACD柱<0(空头)（宽松） & RSI>70（严格） & 量比温和>1.1（宽松）
2	做空	优质	1	20	11	55.0%	100.0%	0.000	44.8	空头53%	+2.20%	+0.11%	11	偏离MA5温和>0.3%（宽松） & 连续阳线≥3（严格） & MACD柱<0(空头)（宽松）
3	做空	优质	1	9	5	55.6%	100.0%	0.000	44.8	-	+1.06%	+0.12%	39	偏离MA5温和>0.3%（宽松） & OBV方向卖压（宽松） & RSI温和>50（宽松）
4	做空	精品	1	10	6	60.0%	100.0%	0.000	44.8	-	+1.80%	+0.18%	13	布林中区>0.60（宽松） & 偏离MA5温和>0.3%（宽松） & OBV方向卖压（宽松）
5	做多	精品	1	8	6	75.0%	100.0%	0.000	44.8	-	+1.52%	+0.19%	15	偏离MA5温和<-0.3%（宽松） & 连续阴线≥3（严格） & MACD柱>0(多头)（宽松）
6	做多	精品	1	10	8	80.0%	100.0%	0.000	44.8	空头67%	+2.60%	+0.26%	21	偏离MA5温和<-0.3%（宽松） & MACD柱>0(多头)（宽松） & RSI温和<50（宽松）
7	做多	精品	1	11	8	72.7%	100.0%	0.000	44.8	⚠空头57%	+1.74%	+0.16%	21	布林中区<0.35（严格） & 偏离MA5温和<-0.3%（宽松） & MACD柱>0(多头)（宽松）
8	做多	精品	1	9	7	77.8%	100.0%	0.000	44.8	空头100%	+2.06%	+0.23%	10	偏离MA5温和<-0.3%（宽松） & KDJ-K<35（宽松） & MACD柱>0(多头)（宽松）
9	做多	精品	1	8	6	75.0%	100.0%	0.000	44.8	空头83%	+1.52%	+0.19%	16	偏离MA5温和<-0.5%（严格） & KDJ-J<25（宽松） & MACD柱>0(多头)（宽松）
10	做空	精品	1	10	6	60.0%	100.0%	0.000	44.8	多头60%	+1.80%	+0.18%	14	偏离MA5>1.0%（宽松） & RSI>60（宽松）
11	做空	优质	1	12	7	58.3%	100.0%	0.000	44.8	多头67%	+1.88%	+0.16%	14	布林位置>0.75（宽松） & 偏离MA5>1.0%（宽松）
12	做空	精品	1	11	7	63.6%	100.0%	0.000	44.8	多头67%	+2.54%	+0.23%	14	布林位置>0.85（严格） & 偏离MA5>1.0%（宽松）
