方向	入场时间	入场价	出场时间	出场价	盈利(USDT)	收益率%	持仓	市场状态	指纹摘要
LONG	01-04 13:57	43419.10	01-04 14:52	43679.61	54.00	0.54	55		#long|atr 率75% 分84
SHORT	01-04 16:00	44111.00	01-04 19:19	44375.67	-66.36	-0.66	199		#short|at 率57% 分67
LONG	01-04 19:32	44217.00	01-04 20:38	44482.30	53.93	0.54	66		#long|atr 率68% 分68
LONG	01-04 22:52	44354.30	01-05 00:37	43999.47	-86.36	-0.86	105		#long|ma5 率71% 分75
SHORT	01-05 01:52	43095.80	01-05 01:54	43354.37	-65.70	-0.66	2		#short|at 率56% 分67
SHORT	01-05 01:55	43385.60	01-05 02:00	43645.91	-65.27	-0.66	5		#short|cl 率82% 分84
LONG	01-05 08:18	43806.60	01-05 09:01	44069.44	53.05	0.54	43		#long|atr 率89% 分84
LONG	01-05 11:12	43717.90	01-05 12:24	43980.21	53.34	0.54	72		#long|bol 率81% 分84
SHORT	01-05 14:45	43715.90	01-05 15:54	43366.17	73.49	0.74	69		#short|cl 率67% 分84
LONG	01-05 17:05	43260.50	01-05 17:39	43520.06	54.02	0.54	34		#long|atr 率82% 分84
LONG	01-05 18:45	43560.90	01-05 19:47	43822.27	54.31	0.54	62		#long|atr 率89% 分84
SHORT	01-05 20:01	43617.40	01-05 20:54	43879.10	-66.74	-0.66	53		#short|co 率53% 分63
LONG	01-05 20:57	43863.60	01-05 23:04	44126.78	54.25	0.54	127		#long|con 率80% 分84
LONG	01-06 00:02	44094.70	01-06 04:02	43924.90	-44.95	-0.45	240		#long|con 率69% 分71
LONG	01-06 04:53	43861.00	01-06 06:12	43510.11	-86.47	-0.86	79		#long|atr 率78% 分84
LONG	01-06 06:42	43584.70	01-06 10:42	43719.50	24.85	0.25	240		#long|con 率70% 分72
SHORT	01-06 14:34	43862.30	01-06 18:34	43968.50	-30.19	-0.30	240		#short|j_ 率64% 分65
LONG	01-06 19:42	43837.60	01-06 23:42	43870.00	1.39	0.01	240		#long|atr 率82% 分84
LONG	01-07 01:47	44049.70	01-07 05:47	43961.60	-25.91	-0.26	240		#long|con 率75% 分84
LONG	01-07 07:21	44035.40	01-07 11:21	44006.10	-12.58	-0.13	240		#long|atr 率67% 分66
LONG	01-07 16:39	44109.80	01-07 17:03	43756.92	-85.36	-0.86	24		#long|j_s 率85% 分84
LONG	01-07 17:52	44008.90	01-07 21:52	44173.00	30.79	0.31	240		#long|atr 率65% 分63
LONG	01-07 22:08	44125.00	01-07 22:34	43772.00	-84.90	-0.86	26		#long|atr 率73% 分79
LONG	01-07 22:51	43855.80	01-08 02:37	43504.95	-84.16	-0.86	226		#long|con 率71% 分74
LONG	01-08 03:15	43338.80	01-08 04:59	43598.83	52.39	0.54	104		#long|atr 率67% 分66
SHORT	01-08 06:11	43604.20	01-08 06:21	43865.83	-64.38	-0.66	10		#short|at 率55% 分66
LONG	01-08 09:07	43851.10	01-08 10:54	44114.21	52.33	0.54	107		#long|atr 率82% 分84
SHORT	01-08 13:42	45010.60	01-08 15:41	45280.66	-64.30	-0.66	119		#short|co 率53% 分63
LONG	01-08 15:44	44987.40	01-08 17:21	45257.32	52.26	0.54	97		#long|atr 率67% 分66
LONG	01-08 18:41	46522.10	01-08 18:44	46801.23	52.55	0.54	3		#long|atr 率67% 分66
LONG	01-08 22:25	46977.20	01-09 00:37	46601.38	-84.14	-0.86	132		#long|ma5 率65% 分62
SHORT	01-09 01:03	46700.90	01-09 01:45	46327.29	71.77	0.74	42		#short|bo 率59% 分62
SHORT	01-09 03:27	46973.10	01-09 07:27	46933.70	2.33	0.02	240		#short|co 率58% 分70
LONG	01-09 07:56	46830.00	01-09 09:26	46455.36	-84.05	-0.86	90		#long|atr 率67% 分66
LONG	01-09 11:07	46475.50	01-09 12:02	46754.35	52.32	0.54	55		#long|atr 率75% 分84
