方向	入场时间	入场价	出场时间	出场价	盈利(USDT)	收益率%	持仓	市场状态	指纹摘要
SHORT	01-02 08:13	95978.80	01-02 09:53	96554.67	-34.00	-0.68	100		#short|cl 率59% 分62
SHORT	01-02 11:38	96662.20	01-02 14:32	97242.17	-33.77	-0.68	174		#short|cl 率59% 分62
SHORT	01-02 16:13	96560.00	01-02 16:24	97139.36	-33.54	-0.68	11		#short|cl 率59% 分62
SHORT	01-02 17:14	97520.40	01-02 17:34	96740.24	35.27	0.72	20		#short|cl 率59% 分62
SHORT	01-02 22:33	97017.80	01-03 02:33	97131.60	-9.73	-0.20	240		#short|cl 率59% 分62
SHORT	01-03 08:04	96364.00	01-03 12:04	96770.80	-24.73	-0.50	240		#short|cl 率59% 分62
SHORT	01-03 12:29	96845.40	01-03 15:10	97426.47	-33.32	-0.68	161		#short|cl 率59% 分62
SHORT	01-04 01:24	97930.80	01-04 05:24	98097.50	-12.18	-0.25	240		#short|cl 率59% 分62
SHORT	01-04 07:42	98208.80	01-04 11:42	97789.00	16.87	0.35	240		#short|cl 率59% 分62
SHORT	01-04 22:34	98357.00	01-05 02:34	98113.90	8.14	0.17	240		#short|cl 率59% 分62
SHORT	01-05 04:21	98346.30	01-05 08:21	97791.40	23.63	0.48	240		#short|cl 率59% 分62
SHORT	01-05 10:12	97727.30	01-05 14:12	97589.80	2.98	0.06	240		#short|cl 率59% 分62
SHORT	01-05 15:29	97863.10	01-05 19:29	98020.20	-11.80	-0.24	240		#short|cl 率59% 分62
SHORT	01-05 21:23	98374.50	01-06 01:23	97950.00	17.20	0.35	240		#short|cl 率59% 分62
SHORT	01-06 19:16	101940.80	01-06 23:16	102057.20	-9.54	-0.19	240		#short|cl 率59% 分62
SHORT	01-07 04:00	101708.20	01-07 08:00	101709.90	-4.00	-0.08	240		#short|cl 率59% 分62
SHORT	01-07 15:52	98233.10	01-07 17:07	97447.24	35.26	0.72	75		#short|cl 率59% 分62
SHORT	01-07 17:40	97489.20	01-07 17:48	96709.29	35.52	0.72	8		#short|cl 率59% 分62
SHORT	01-07 18:09	97465.80	01-07 18:46	96686.07	35.77	0.72	37		#short|cl 率59% 分62
SHORT	01-07 22:25	96950.00	01-08 02:25	97140.80	-13.85	-0.28	240		#short|cl 率59% 分62
SHORT	01-08 17:42	93689.20	01-08 18:04	94251.34	-33.93	-0.68	22		#short|cl 率59% 分62
SHORT	01-09 00:58	95092.60	01-09 02:07	94331.86	35.68	0.72	69		#short|cl 率59% 分62
